2025-11-19 12:12:39 | INFO     | root | ================================================================================
2025-11-19 12:12:39 | INFO     | root | GOLDBOT - XAUUSD Breakout Trading System
2025-11-19 12:12:39 | INFO     | root | ================================================================================
2025-11-19 12:12:39 | INFO     | root | Logging initialized at INFO level
2025-11-19 12:12:39 | INFO     | root | Log file: goldbot.log
2025-11-19 12:12:39 | INFO     | __main__ | Starting BACKTEST mode
2025-11-19 12:12:39 | INFO     | analyst | MarketAnalyst initialized
2025-11-19 12:12:39 | INFO     | root | MT5 initialized successfully
2025-11-19 12:12:39 | INFO     | root | Connected to MT5 account: 270151243
2025-11-19 12:12:39 | INFO     | root | Server: Exness-MT5Trial17
2025-11-19 12:12:39 | INFO     | root | Balance: $27.86
2025-11-19 12:12:39 | INFO     | root | Equity: $27.86
2025-11-19 12:12:39 | INFO     | root | Leverage: 1:2000
2025-11-19 12:12:39 | INFO     | root | Symbol XAUUSDm ready for trading
2025-11-19 12:12:39 | INFO     | root | Spread: 160 points
2025-11-19 12:12:39 | INFO     | __main__ | Backtest period: 2025-01-01 to 2025-10-30
2025-11-19 12:12:39 | INFO     | __main__ | Initial balance: $100.00
2025-11-19 12:12:39 | INFO     | __main__ | Fetching historical data...
2025-11-19 12:12:39 | INFO     | __main__ | Loaded 46074 M5 bars
2025-11-19 12:12:39 | INFO     | __main__ | Running backtest simulation...
2025-11-19 12:12:39 | INFO     | analyst | === Starting Market Analysis ===
2025-11-19 12:12:39 | INFO     | analyst | ATR (M5): 4.06
2025-11-19 12:12:39 | INFO     | analyst | HTF Bias (H1): BEARISH
2025-11-19 12:12:39 | INFO     | analyst | Total score: 35
2025-11-19 12:12:39 | INFO     | analyst | Score too low: 35 < 60
2025-11-19 12:12:39 | INFO     | analyst | === Starting Market Analysis ===
2025-11-19 12:12:39 | INFO     | analyst | ATR (M5): 3.92
2025-11-19 12:12:39 | INFO     | analyst | HTF Bias (H1): BEARISH
2025-11-19 12:12:39 | INFO     | analyst | === Starting Market Analysis ===
2025-11-19 12:12:39 | INFO     | analyst | ATR (M5): 3.76
2025-11-19 12:12:39 | INFO     | analyst | HTF Bias (H1): BEARISH
2025-11-19 12:12:39 | INFO     | analyst | === Starting Market Analysis ===
2025-11-19 12:12:39 | INFO     | analyst | ATR (M5): 3.62
2025-11-19 12:12:39 | INFO     | analyst | HTF Bias (H1): BEARISH
2025-11-19 12:12:39 | INFO     | analyst | === Starting Market Analysis ===
2025-11-19 12:12:39 | INFO     | analyst | ATR (M5): 3.88
2025-11-19 12:12:39 | INFO     | analyst | HTF Bias (H1): BEARISH
2025-11-19 12:12:39 | INFO     | analyst | Total score: 35
2025-11-19 12:12:39 | INFO     | analyst | Score too low: 35 < 60
2025-11-19 12:12:39 | INFO     | analyst | === Starting Market Analysis ===
2025-11-19 12:12:39 | INFO     | analyst | ATR (M5): 3.99
2025-11-19 12:12:39 | INFO     | analyst | HTF Bias (H1): BEARISH
2025-11-19 12:12:39 | INFO     | analyst | Total score: 50
2025-11-19 12:12:39 | INFO     | analyst | Score too low: 50 < 60
2025-11-19 12:12:39 | INFO     | analyst | === Starting Market Analysis ===
2025-11-19 12:12:39 | INFO     | analyst | ATR (M5): 3.97
2025-11-19 12:12:39 | INFO     | analyst | HTF Bias (H1): BEARISH
2025-11-19 12:12:39 | INFO     | analyst | Total score: 30
2025-11-19 12:12:39 | INFO     | analyst | Score too low: 30 < 60
2025-11-19 12:12:39 | INFO     | analyst | === Starting Market Analysis ===
2025-11-19 12:12:39 | INFO     | analyst | ATR (M5): 3.92
2025-11-19 12:12:39 | INFO     | analyst | HTF Bias (H1): BEARISH
2025-11-19 12:12:39 | INFO     | analyst | === Starting Market Analysis ===
2025-11-19 12:12:39 | INFO     | analyst | ATR (M5): 3.85
2025-11-19 12:12:39 | INFO     | analyst | HTF Bias (H1): BEARISH
2025-11-19 12:12:39 | INFO     | analyst | Total score: 10
2025-11-19 12:12:39 | INFO     | analyst | Score too low: 10 < 60
2025-11-19 12:12:39 | INFO     | analyst | === Starting Market Analysis ===
2025-11-19 12:12:39 | INFO     | analyst | ATR (M5): 3.74
2025-11-19 12:12:39 | INFO     | analyst | HTF Bias (H1): BEARISH
2025-11-19 12:12:39 | INFO     | analyst | === Starting Market Analysis ===
2025-11-19 12:12:39 | INFO     | analyst | ATR (M5): 3.64
2025-11-19 12:12:39 | INFO     | analyst | HTF Bias (H1): BEARISH
2025-11-19 12:12:39 | INFO     | analyst | Total score: 10
2025-11-19 12:12:39 | INFO     | analyst | Score too low: 10 < 60
2025-11-19 12:12:39 | INFO     | analyst | === Starting Market Analysis ===
2025-11-19 12:12:39 | INFO     | analyst | ATR (M5): 3.53
2025-11-19 12:12:39 | INFO     | analyst | HTF Bias (H1): BEARISH
2025-11-19 12:12:39 | INFO     | analyst | === Starting Market Analysis ===
2025-11-19 12:12:39 | INFO     | analyst | ATR (M5): 3.53
2025-11-19 12:12:39 | INFO     | analyst | HTF Bias (H1): BEARISH
2025-11-19 12:12:39 | INFO     | analyst | === Starting Market Analysis ===
2025-11-19 12:12:39 | INFO     | analyst | ATR (M5): 3.41
2025-11-19 12:12:39 | INFO     | analyst | HTF Bias (H1): BEARISH
2025-11-19 12:12:39 | INFO     | analyst | Total score: 10
2025-11-19 12:12:39 | INFO     | analyst | Score too low: 10 < 60
2025-11-19 12:12:39 | INFO     | analyst | === Starting Market Analysis ===
2025-11-19 12:12:39 | INFO     | analyst | ATR (M5): 3.28
2025-11-19 12:12:39 | INFO     | analyst | HTF Bias (H1): BEARISH
2025-11-19 12:12:39 | INFO     | analyst | === Starting Market Analysis ===
2025-11-19 12:12:39 | INFO     | analyst | ATR (M5): 3.20
2025-11-19 12:12:39 | INFO     | analyst | HTF Bias (H1): BEARISH
2025-11-19 12:12:39 | INFO     | analyst | Total score: 30
2025-11-19 12:12:39 | INFO     | analyst | Score too low: 30 < 60
2025-11-19 12:12:39 | INFO     | analyst | === Starting Market Analysis ===
2025-11-19 12:12:39 | INFO     | analyst | ATR (M5): 3.08
2025-11-19 12:12:39 | INFO     | analyst | HTF Bias (H1): BEARISH
2025-11-19 12:12:39 | INFO     | analyst | === Starting Market Analysis ===
2025-11-19 12:12:39 | INFO     | analyst | ATR (M5): 3.04
2025-11-19 12:12:39 | INFO     | analyst | HTF Bias (H1): BEARISH
2025-11-19 12:12:39 | INFO     | analyst | Total score: 30
2025-11-19 12:12:39 | INFO     | analyst | Score too low: 30 < 60
2025-11-19 12:12:39 | INFO     | analyst | === Starting Market Analysis ===
2025-11-19 12:12:39 | INFO     | analyst | ATR (M5): 3.02
2025-11-19 12:12:39 | INFO     | analyst | HTF Bias (H1): BEARISH
2025-11-19 12:12:39 | INFO     | analyst | Total score: 35
2025-11-19 12:12:39 | INFO     | analyst | Score too low: 35 < 60
2025-11-19 12:12:39 | INFO     | analyst | === Starting Market Analysis ===
2025-11-19 12:12:39 | INFO     | analyst | ATR (M5): 3.14
2025-11-19 12:12:39 | INFO     | analyst | HTF Bias (H1): BEARISH
2025-11-19 12:12:39 | INFO     | analyst | Total score: 15
2025-11-19 12:12:39 | INFO     | analyst | Score too low: 15 < 60
2025-11-19 12:12:39 | INFO     | analyst | === Starting Market Analysis ===
2025-11-19 12:12:39 | INFO     | analyst | ATR (M5): 3.06
2025-11-19 12:12:39 | INFO     | analyst | HTF Bias (H1): BEARISH
2025-11-19 12:12:39 | INFO     | analyst | Total score: 10
2025-11-19 12:12:39 | INFO     | analyst | Score too low: 10 < 60
2025-11-19 12:12:39 | INFO     | analyst | === Starting Market Analysis ===
2025-11-19 12:12:39 | INFO     | analyst | ATR (M5): 3.03
2025-11-19 12:12:39 | INFO     | analyst | HTF Bias (H1): BEARISH
2025-11-19 12:12:39 | INFO     | analyst | Total score: 10
2025-11-19 12:12:39 | INFO     | analyst | Score too low: 10 < 60
2025-11-19 12:12:39 | INFO     | analyst | === Starting Market Analysis ===
2025-11-19 12:12:39 | INFO     | analyst | ATR (M5): 2.92
2025-11-19 12:12:39 | INFO     | analyst | HTF Bias (H1): BEARISH
2025-11-19 12:12:39 | INFO     | analyst | === Starting Market Analysis ===
2025-11-19 12:12:39 | INFO     | analyst | ATR (M5): 2.85
2025-11-19 12:12:39 | INFO     | analyst | HTF Bias (H1): BEARISH
2025-11-19 12:12:39 | INFO     | analyst | === Starting Market Analysis ===
2025-11-19 12:12:39 | INFO     | analyst | ATR (M5): 2.74
2025-11-19 12:12:39 | INFO     | analyst | HTF Bias (H1): BEARISH
2025-11-19 12:12:39 | INFO     | analyst | === Starting Market Analysis ===
2025-11-19 12:12:39 | INFO     | analyst | ATR (M5): 2.66
2025-11-19 12:12:39 | INFO     | analyst | HTF Bias (H1): BEARISH
2025-11-19 12:12:39 | INFO     | analyst | === Starting Market Analysis ===
2025-11-19 12:12:39 | INFO     | analyst | ATR (M5): 2.58
2025-11-19 12:12:39 | INFO     | analyst | HTF Bias (H1): BEARISH
2025-11-19 12:12:39 | INFO     | analyst | === Starting Market Analysis ===
2025-11-19 12:12:39 | INFO     | analyst | ATR (M5): 2.51
2025-11-19 12:12:39 | INFO     | analyst | HTF Bias (H1): BEARISH
2025-11-19 12:12:39 | INFO     | analyst | === Starting Market Analysis ===
2025-11-19 12:12:39 | INFO     | analyst | ATR (M5): 2.44
2025-11-19 12:12:39 | INFO     | analyst | HTF Bias (H1): BEARISH
2025-11-19 12:12:39 | INFO     | analyst | === Starting Market Analysis ===
2025-11-19 12:12:39 | INFO     | analyst | ATR (M5): 2.44
2025-11-19 12:12:39 | INFO     | analyst | HTF Bias (H1): BEARISH
2025-11-19 12:12:39 | INFO     | analyst | Total score: 30
2025-11-19 12:12:39 | INFO     | analyst | Score too low: 30 < 60
2025-11-19 12:12:39 | INFO     | analyst | === Starting Market Analysis ===
2025-11-19 12:12:39 | INFO     | analyst | ATR (M5): 2.48
2025-11-19 12:12:39 | INFO     | analyst | HTF Bias (H1): BULLISH
2025-11-19 12:12:39 | INFO     | analyst | Total score: 50
2025-11-19 12:12:39 | INFO     | analyst | Score too low: 50 < 60
2025-11-19 12:12:39 | INFO     | analyst | === Starting Market Analysis ===
2025-11-19 12:12:39 | INFO     | analyst | ATR (M5): 2.56
2025-11-19 12:12:39 | INFO     | analyst | HTF Bias (H1): BEARISH
2025-11-19 12:12:39 | INFO     | analyst | Total score: 35
2025-11-19 12:12:39 | INFO     | analyst | Score too low: 35 < 60
2025-11-19 12:12:39 | INFO     | analyst | === Starting Market Analysis ===
2025-11-19 12:12:39 | INFO     | analyst | ATR (M5): 2.53
2025-11-19 12:12:39 | INFO     | analyst | HTF Bias (H1): BULLISH
2025-11-19 12:12:39 | INFO     | analyst | === Starting Market Analysis ===
2025-11-19 12:12:39 | INFO     | analyst | ATR (M5): 2.41
2025-11-19 12:12:39 | INFO     | analyst | HTF Bias (H1): BULLISH
2025-11-19 12:12:39 | INFO     | analyst | === Starting Market Analysis ===
2025-11-19 12:12:39 | INFO     | analyst | ATR (M5): 2.37
